dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
24-Oct,203.234,alive,airbag,belted,0,m,31,1999,1997,nodeploy,driver,0,0,12:57:01
24-Oct,220.034,alive,airbag,belted,1,m,31,1999,1997,deploy,driver,1,0,0.558344907
25-39,425.46,alive,none,none,0,m,31,1999,1981,unavail,driver,0,2,0.565289352
55+,113.741,dead,none,belted,0,f,31,1999,1990,unavail,pass,0,4,13:01:01
24-Oct,91.427,alive,airbag,belted,0,m,31,1999,1994,nodeploy,pass,0,0,0.59931713
24-Oct,2063.79,alive,none,none,0,m,31,1999,1987,unavail,driver,0,1,41:08:01
24-Oct,22.262,alive,airbag,belted,1,m,31,1999,1998,deploy,driver,1,2,41:84:2
25-39,602.824,alive,airbag,belted,0,m,31,1999,1995,nodeploy,driver,0,2,41:88:1
25-39,20.87,alive,airbag,belted,1,f,31,1999,1997,deploy,driver,1,0,41:115:1
25-39,19.409,alive,airbag,belted,0,f,31,1999,1996,nodeploy,driver,0,0,41:123:1
40-54,18.164,alive,airbag,belted,1,m,31,1999,2000,deploy,pass,1,2,41:166:1
55+,27.705,alive,none,belted,0,m,31,1999,1988,unavail,driver,0,3,41:186:2
40-54,42.609,alive,none,belted,0,m,31,1999,1991,unavail,driver,0,1,43:95:1
24-Oct,99.677,alive,airbag,belted,1,f,31,1999,1996,deploy,driver,1,3,43:178:1
24-Oct,172.354,alive,airbag,belted,1,f,31,1999,1997,deploy,pass,1,3,43:190:1
24-Oct,141.183,alive,airbag,belted,1,m,31,1999,1999,deploy,driver,1,0,45:33:03
24-Oct,141.183,alive,airbag,belted,1,f,31,1999,1999,deploy,pass,1,3,45:33:03
25-39,48.323,alive,airbag,none,1,f,31,1999,1996,deploy,driver,1,3,45:98:1
24-Oct,0,alive,airbag,belted,1,m,31,1999,1999,deploy,driver,1,2,45:803:2
24-Oct,15714.414,alive,airbag,belted,1,f,31,1999,1993,nodeploy,driver,0,1,48:47:01
55+,348.114,alive,none,none,1,m,31,1999,1993,unavail,pass,0,3,48:58:01
25-39,194.176,alive,none,belted,0,m,31,1999,1989,unavail,driver,0,3,48:180:2
24-Oct,65.041,alive,airbag,belted,1,m,31,1999,1998,deploy,driver,1,1,49:03:02
25-39,310.727,alive,airbag,belted,0,m,31,1999,1998,nodeploy,driver,0,0,49:19:02
24-Oct,679.952,alive,airbag,belted,0,m,31,1999,1996,nodeploy,driver,0,0,49:74:2
24-Oct,106.77,alive,airbag,belted,0,m,31,1999,1997,nodeploy,driver,0,2,49:89:2
25-39,11.738,alive,none,none,1,f,31,1999,1988,unavail,driver,0,3,49:98:2
25-39,428.854,alive,airbag,belted,1,f,31,1999,1995,deploy,driver,1,2,49:108:1
25-39,11.738,alive,airbag,belted,1,m,31,1999,1997,deploy,pass,1,2,49:214:1
25-39,18.24,alive,airbag,belted,1,m,31,1999,1994,deploy,driver,1,3,72:59:01
24-Oct,45.886,alive,airbag,belted,1,f,31,1999,1997,nodeploy,driver,0,1,72:92:2
25-39,141.316,alive,none,belted,0,f,31,1999,1993,unavail,driver,0,1,72:111:2
24-Oct,7.041,alive,airbag,none,1,m,31,1999,1999,deploy,driver,1,3,72:117:1
24-Oct,16.857,alive,airbag,belted,1,m,31,1999,1998,deploy,pass,1,1,72:124:2
24-Oct,236.842,alive,airbag,belted,1,f,31,1999,1996,deploy,driver,1,2,72:144:1
24-Oct,18.24,alive,airbag,belted,0,m,31,1999,1993,nodeploy,driver,0,2,72:173:1
25-39,30.298,alive,airbag,none,1,m,31,1999,1998,deploy,driver,1,1,73:62:2
25-39,17.28,alive,airbag,belted,1,m,31,1999,1994,deploy,driver,1,3,73:64:2
55+,30.735,alive,none,belted,1,m,31,1999,1986,unavail,driver,0,3,74:03:02
24-Oct,18.331,alive,airbag,belted,1,m,31,1999,1996,deploy,driver,1,0,74:23:01
25-39,20.754,alive,airbag,belted,1,f,31,1999,1997,deploy,driver,1,1,74:30:01
24-Oct,32.384,alive,none,none,1,m,31,1999,1977,unavail,driver,0,0,74:125:1
24-Oct,77.723,alive,airbag,none,0,f,31,1999,1999,nodeploy,driver,0,2,74:149:2
25-39,54.284,alive,none,none,0,f,31,1999,1985,unavail,pass,0,2,75:62:2
24-Oct,1429.705,alive,airbag,none,1,f,31,1999,1998,nodeploy,driver,0,2,75:84:1
24-Oct,312.489,alive,airbag,belted,1,f,31,1999,1996,deploy,driver,1,3,76:29:02
40-54,126.081,alive,none,none,0,m,31,1999,1986,unavail,pass,0,0,76:41:01
24-Oct,675.97,alive,none,belted,1,f,31,1999,1993,unavail,driver,0,2,76:141:1
40-54,63.82,dead,none,none,0,m,31,1999,1992,unavail,driver,0,4,78:14:01
25-39,2100.576,alive,none,none,1,m,31,1999,1979,unavail,driver,0,0,78:16:01
24-Oct,51.81,alive,none,none,1,m,31,1999,1989,unavail,driver,0,1,78:71:2
24-Oct,502.212,alive,airbag,belted,1,m,31,1999,1995,deploy,driver,1,0,78:75:2
25-39,2.167,alive,airbag,belted,1,m,31,1999,1998,deploy,pass,1,1,79:31:01
25-39,3.146,alive,airbag,belted,0,f,31,1999,1996,nodeploy,driver,0,3,79:47:02
40-54,9.453,alive,airbag,belted,1,f,31,1999,1993,deploy,driver,1,3,79:52:02
24-Oct,111.152,alive,airbag,belted,1,f,31,1999,1997,nodeploy,driver,0,1,79:60:2
24-Oct,62.892,alive,airbag,belted,1,f,31,1999,1995,deploy,driver,1,2,79:92:2
55+,36.595,alive,none,none,1,m,31,1999,1987,unavail,pass,0,3,81:20:01
40-54,10.266,alive,none,none,1,f,31,1999,1986,unavail,driver,0,3,81:35:01
25-39,63.803,alive,none,none,1,m,31,1999,1988,unavail,driver,0,3,81:92:2
24-Oct,479.535,alive,airbag,belted,0,f,31,1999,1993,nodeploy,driver,0,2,82:55:01
25-39,6.153,alive,none,none,1,m,31,1999,1990,unavail,driver,0,2,82:59:01
24-Oct,422.374,alive,airbag,belted,1,m,31,1999,1996,deploy,pass,1,0,82:110:1
24-Oct,102.405,alive,none,none,1,f,31,1999,1988,unavail,driver,0,2,82:144:1
24-Oct,121.712,alive,airbag,belted,1,m,31,2000,1999,deploy,driver,1,2,0.177789352
24-Oct,133.068,alive,airbag,belted,1,m,31,2000,1997,deploy,driver,1,1,0.188912037
24-Oct,111.454,alive,airbag,belted,1,f,31,2000,1998,nodeploy,driver,0,1,3:16:01
24-Oct,154.489,alive,none,none,0,f,31,2000,1993,unavail,driver,0,1,3:17:02
24-Oct,2316.439,alive,airbag,belted,0,m,31,2000,1993,nodeploy,driver,0,0,0.173622685
25-39,15.398,alive,none,belted,1,m,31,2000,1992,unavail,driver,0,0,0.247233796
40-54,32.473,alive,airbag,belted,1,f,31,2000,1994,deploy,driver,1,2,5:47:02
24-Oct,796.785,alive,none,belted,0,f,31,2000,1987,unavail,driver,0,0,0.258356481
40-54,28.875,alive,airbag,none,0,m,31,2000,1994,nodeploy,driver,0,3,6:11:02
25-39,91.279,alive,airbag,belted,1,f,31,2000,1994,deploy,driver,1,3,8:23:03
24-Oct,349.533,alive,none,none,0,m,31,2000,1978,unavail,pass,0,1,0.391689815
24-Oct,411.025,alive,airbag,belted,0,m,31,2000,1991,nodeploy,driver,0,1,0.402800926
24-Oct,715.908,alive,none,belted,1,f,31,2000,1986,unavail,driver,0,2,0.40556713
1-9km/h,118.57,alive,airbag,belted,1,m,31,2000,1995,nodeploy,pass,0,0,0.417384259
24-Oct,306.33,alive,airbag,none,0,f,31,2000,1998,nodeploy,driver,0,3,0.425011574
24-Oct,139.411,alive,none,none,0,m,31,2000,1985,unavail,pass,0,0,0.452789352
24-Oct,590.481,alive,airbag,belted,1,m,31,2000,2000,nodeploy,driver,0,0,0.463217593
24-Oct,114.292,alive,airbag,belted,1,f,31,2000,1997,nodeploy,pass,0,3,9:02:01
24-Oct,28.497,alive,airbag,belted,1,m,31,2000,1997,deploy,driver,1,1,9:50:01
25-39,17.13,alive,none,belted,1,m,31,2000,1990,unavail,driver,0,0,0.444479167
24-Oct,27.533,alive,none,none,1,m,31,2000,1987,unavail,driver,0,0,0.447233796
55+,50.221,alive,airbag,none,0,f,31,2000,2000,nodeploy,pass,0,3,0.450717593
55+,35.125,dead,none,none,1,m,31,2000,1987,unavail,driver,0,4,0.495162037
25-39,90.411,alive,airbag,belted,0,f,31,2000,1999,nodeploy,driver,0,1,11:15:02
40-54,90.256,alive,airbag,belted,1,f,31,2000,1997,deploy,driver,1,3,11:18:02
25-39,54.031,alive,airbag,belted,1,m,31,2000,1995,deploy,driver,1,3,11:25:01
25-39,51.164,alive,airbag,belted,1,m,31,2000,2000,deploy,driver,1,3,0.502094907
24-Oct,1716.495,alive,airbag,belted,1,m,31,2000,1998,deploy,driver,1,0,0.506261574
24-Oct,1767.342,alive,airbag,belted,1,m,31,2000,1997,deploy,driver,1,0,0.590289352
24-Oct,37.637,alive,airbag,belted,0,m,31,2000,1998,nodeploy,driver,0,1,12:28:01
24-Oct,282.994,alive,none,belted,0,f,31,2000,1993,unavail,pass,0,2,0.567384259
25-39,64.022,alive,none,belted,0,f,31,2000,1985,unavail,driver,0,2,0.609039352
25-39,597.995,alive,none,none,1,f,31,2000,1989,unavail,driver,0,1,0.615289352
40-54,64.022,alive,airbag,none,1,m,31,2000,2000,deploy,driver,1,3,0.624328704
24-Oct,282.525,alive,none,belted,1,f,31,2000,1983,unavail,driver,0,1,0.628483796
55+,29.757,alive,none,belted,1,m,31,2000,1987,unavail,driver,0,2,0.633344907
25-39,30.947,alive,airbag,belted,1,f,31,2000,1994,deploy,driver,1,3,0.65974537
25-39,86.221,alive,none,none,0,f,31,2000,1983,unavail,driver,0,0,13:14:01
24-Oct,468.072,alive,none,belted,0,f,31,2000,1987,unavail,pass,0,0,0.587511574
25-39,86.221,alive,airbag,belted,1,m,31,2000,1993,deploy,pass,1,3,0.608344907
24-Oct,317.385,alive,airbag,belted,1,f,31,2000,1993,deploy,driver,1,0,0.645856481
25-39,86.713,alive,none,belted,1,m,31,2000,1990,unavail,pass,0,3,0.64724537
40-54,86.221,alive,airbag,belted,1,m,31,2000,1997,deploy,driver,1,0,0.647928241
55+,86.221,alive,none,belted,0,m,31,2000,1989,unavail,driver,0,3,0.662523148
24-Oct,86.221,alive,airbag,belted,0,f,31,2000,1993,nodeploy,pass,0,0,0.667384259
24-Oct,24.163,dead,airbag,none,0,m,31,2000,2000,nodeploy,pass,0,4,41:67:2
25-39,38.739,alive,airbag,belted,1,f,31,2000,2000,nodeploy,driver,0,0,41:95:1
25-39,246.269,alive,airbag,belted,0,f,31,2000,1996,nodeploy,driver,0,2,41:114:1
40-54,28.662,alive,airbag,belted,1,m,31,2000,1999,deploy,driver,1,0,41:120:2
25-39,665.011,alive,airbag,belted,0,f,31,2000,1998,nodeploy,driver,0,1,43:28:02
24-Oct,844.036,alive,none,belted,0,f,31,2000,1983,unavail,pass,0,2,43:64:2
24-Oct,371.252,alive,airbag,belted,1,f,31,2000,2001,nodeploy,pass,0,1,43:109:2
25-39,650.415,alive,airbag,belted,1,f,31,2000,1994,nodeploy,driver,0,0,43:111:2
24-Oct,284.783,alive,airbag,belted,0,m,31,2000,1999,nodeploy,driver,0,2,43:187:2
24-Oct,49.483,alive,airbag,belted,0,f,31,2000,2000,nodeploy,pass,0,2,43:221:2
55+,71.556,alive,airbag,none,0,f,31,2000,1995,nodeploy,driver,0,3,45:38:02
24-Oct,48.027,alive,airbag,belted,1,f,31,2000,1999,nodeploy,pass,0,3,45:44:01
24-Oct,3397.886,alive,airbag,belted,1,f,31,2000,1995,nodeploy,driver,0,1,45:76:1
24-Oct,86.467,alive,airbag,none,1,f,31,2000,2000,nodeploy,pass,0,2,45:146:2
25-39,12238.598,alive,airbag,belted,1,f,31,2000,1992,nodeploy,driver,0,2,48:56:02
24-Oct,306.715,alive,none,belted,1,m,31,2000,1986,unavail,driver,0,0,48:65:2
25-39,497.73,alive,none,belted,0,f,31,2000,1988,unavail,driver,0,3,48:99:1
24-Oct,380.455,alive,none,belted,0,f,31,2000,1993,unavail,driver,0,1,49:60:2
24-Oct,34.102,alive,none,belted,1,f,31,2000,1993,unavail,pass,0,3,49:103:1
24-Oct,117.775,alive,none,belted,1,f,31,2000,1994,unavail,driver,0,3,49:110:1
25-39,9.785,alive,airbag,none,0,f,31,2000,1994,deploy,driver,1,3,49:116:1
24-Oct,280.242,alive,none,none,1,m,31,2000,1987,unavail,driver,0,1,49:198:2
25-39,4.705,alive,airbag,none,1,m,31,2000,1999,deploy,pass,1,3,72:17:01
24-Oct,61.648,alive,airbag,belted,0,f,31,2000,1998,nodeploy,pass,0,0,72:36:02
24-Oct,11.006,alive,none,belted,0,m,31,2000,1994,unavail,driver,0,2,72:99:2
55+,9.679,alive,none,none,1,m,31,2000,1990,unavail,driver,0,3,72:112:1
55+,9.679,dead,none,none,1,f,31,2000,1990,unavail,pass,0,4,72:112:1
25-39,537.435,alive,airbag,belted,0,m,31,2000,1999,deploy,driver,1,2,72:125:2
24-Oct,234.031,alive,none,belted,0,m,31,2000,1996,unavail,driver,0,1,73:37:01
25-39,173.889,alive,airbag,belted,0,f,31,2000,2000,nodeploy,driver,0,1,74:08:01
40-54,9.829,alive,airbag,belted,1,m,31,2000,1992,deploy,driver,1,3,74:62:1
24-Oct,439.839,alive,none,none,0,m,31,2000,1990,unavail,driver,0,0,74:155:1
25-39,12.998,alive,airbag,none,0,m,31,2000,1998,deploy,driver,1,3,74:166:2
25-39,10.366,alive,none,none,0,m,31,2000,1987,unavail,driver,0,3,74:171:2
24-Oct,414.364,alive,airbag,belted,1,f,31,2000,1993,deploy,driver,1,0,74:176:1
24-Oct,127.235,alive,none,none,1,f,31,2000,1973,unavail,pass,0,1,76:61:1
24-Oct,67.19,alive,airbag,none,1,m,31,2000,2000,nodeploy,driver,0,2,79:63:2
25-39,156.625,alive,none,none,1,m,31,2000,1985,unavail,driver,0,2,79:80:2
25-39,103.957,alive,none,belted,1,f,31,2000,1979,unavail,driver,0,2,79:111:2
25-39,4.595,alive,none,none,1,m,31,2000,1985,unavail,pass,0,2,79:133:1
24-Oct,48.098,alive,none,belted,0,m,31,2000,1983,unavail,driver,0,3,81:41:02
24-Oct,890.818,alive,airbag,none,1,m,31,2000,1997,nodeploy,driver,0,0,81:61:2
1-9km/h,21.627,alive,airbag,belted,0,f,31,2000,1997,nodeploy,driver,0,3,81:76:2
24-Oct,1108.923,alive,airbag,belted,1,f,31,2000,1999,nodeploy,driver,0,0,81:123:2
24-Oct,2.964,alive,airbag,none,1,m,31,2000,1996,deploy,driver,1,3,82:25:02
25-39,157.123,alive,none,belted,1,m,31,2001,1993,unavail,driver,0,1,2:10:02
24-Oct,118.241,alive,none,belted,1,m,31,2001,1990,unavail,driver,0,0,0.143078704
25-39,39.358,alive,airbag,belted,0,f,31,2001,2000,deploy,driver,1,3,4:01:02
55+,16.035,alive,airbag,none,1,m,31,2001,2000,deploy,driver,1,3,0.211828704
55+,16.035,alive,airbag,none,1,f,31,2001,2000,deploy,pass,1,3,0.211828704
24-Oct,0,alive,airbag,belted,1,m,31,2001,2000,deploy,driver,1,1,0.515983796
40-54,335.839,alive,airbag,belted,1,f,31,2001,1998,deploy,driver,1,1,5:02:02
25-39,129.757,alive,airbag,belted,1,f,31,2001,2001,deploy,driver,1,3,0.256956019
40-54,110.509,alive,airbag,belted,1,f,31,2001,1999,deploy,driver,1,1,0.320150463
25-39,493.548,alive,airbag,belted,1,m,31,2001,1998,deploy,driver,1,2,8:46:01
24-Oct,597.651,alive,airbag,belted,0,m,31,2001,1998,nodeploy,pass,0,0,0.404895833
24-Oct,591.383,alive,airbag,belted,1,m,31,2001,1999,deploy,driver,1,1,0.445150463
24-Oct,1337.73,alive,airbag,belted,1,f,31,2001,1999,nodeploy,driver,0,0,0.485439815
24-Oct,1337.73,alive,airbag,none,1,m,31,2001,1999,nodeploy,pass,0,0,0.485439815
24-Oct,1406.101,alive,airbag,belted,0,m,31,2001,2001,nodeploy,driver,0,2,9:58:01
24-Oct,67.988,alive,airbag,belted,0,m,31,2001,1999,nodeploy,pass,0,0,0.439594907
24-Oct,45.653,alive,airbag,none,1,f,31,2001,1999,deploy,driver,1,3,11:21:01
1-9km/h,182.087,alive,none,belted,1,m,31,2001,1990,unavail,driver,0,0,11:34:02
24-Oct,122.508,alive,airbag,belted,1,m,31,2001,2000,nodeploy,driver,0,0,11:53:02
24-Oct,176.214,alive,airbag,belted,0,f,31,2001,1999,nodeploy,driver,0,1,0.506261574
25-39,118.592,alive,airbag,belted,1,f,31,2001,1999,deploy,driver,1,0,0.514606481
25-39,334.654,alive,none,belted,1,m,31,2001,1994,unavail,driver,0,0,0.543761574
24-Oct,253.591,alive,airbag,belted,1,m,31,2001,1999,nodeploy,driver,0,1,0.573622685
40-54,41.23,alive,airbag,belted,1,m,31,2001,2000,deploy,driver,1,0,0.602118056
25-39,381.35,alive,none,belted,1,m,31,2001,1993,unavail,driver,0,1,12:28:02
40-54,3161.98,alive,none,belted,1,m,31,2001,1990,unavail,driver,0,0,12:36:01
55+,26.896,alive,none,none,1,m,31,2001,1986,unavail,driver,0,3,12:38:01
24-Oct,110.549,alive,airbag,belted,0,f,31,2001,1998,nodeploy,driver,0,1,12:41:03
24-Oct,26.896,alive,airbag,belted,1,m,31,2001,1999,deploy,driver,1,0,0.563969907
24-Oct,26.896,alive,airbag,belted,1,f,31,2001,1999,nodeploy,pass,0,NA,0.563969907
24-Oct,31.469,alive,airbag,belted,0,m,31,2001,1995,deploy,driver,1,3,0.613206019
24-Oct,510.903,alive,airbag,none,0,f,31,2001,2001,nodeploy,driver,0,0,0.625023148
25-39,78.106,alive,airbag,belted,1,m,31,2001,1996,deploy,driver,1,2,0.666006944
24-Oct,72.176,alive,none,belted,0,m,31,2001,1984,unavail,driver,0,3,0.668773148
40-54,72.176,alive,none,belted,1,m,31,2001,1992,unavail,driver,0,3,0.675011574
24-Oct,31.542,alive,airbag,none,0,f,31,2001,2000,nodeploy,pass,0,3,41:14:01
55+,23.37,alive,none,none,0,m,31,2001,1991,unavail,driver,0,3,41:73:1
24-Oct,35.188,alive,none,belted,1,m,31,2001,1992,unavail,pass,0,2,43:03:01
24-Oct,45.52,alive,airbag,belted,1,m,31,2001,1998,deploy,pass,1,0,43:41:01
25-39,286.416,alive,none,belted,0,f,31,2001,1988,unavail,driver,0,2,43:88:2
25-39,62.611,alive,airbag,belted,0,m,31,2001,1994,nodeploy,driver,0,1,43:106:1
40-54,37.941,alive,airbag,belted,0,f,31,2001,1999,deploy,driver,1,2,43:118:2
24-Oct,1431.156,alive,airbag,belted,0,m,31,2001,1993,deploy,driver,1,NA,43:155:2
24-Oct,202.407,alive,airbag,belted,1,m,31,2001,1997,deploy,pass,1,0,43:245:1
25-39,54.303,alive,none,none,1,m,31,2001,1987,unavail,driver,0,3,45:20:01
24-Oct,188.974,alive,none,belted,1,m,31,2001,1993,unavail,driver,0,2,45:54:02
25-39,54.303,alive,airbag,belted,0,m,31,2001,1994,nodeploy,driver,0,3,45:63:1
40-54,54.303,alive,airbag,belted,1,f,31,2001,1997,deploy,driver,1,0,45:63:2
25-39,45.248,dead,airbag,none,1,m,31,2001,1998,deploy,pass,1,4,45:149:1
24-Oct,45.248,dead,none,none,1,m,31,2001,1978,unavail,driver,0,4,45:150:2
25-39,84.124,alive,none,none,1,f,31,2001,1989,unavail,driver,0,3,45:154:1
40-54,45.248,dead,none,belted,1,m,31,2001,1992,unavail,pass,0,4,45:166:1
40-54,230.133,alive,none,belted,1,m,31,2001,1991,unavail,driver,0,3,48:13:02
24-Oct,3252.67,alive,none,none,1,f,31,2001,1980,unavail,pass,0,3,48:33:02
1-9km/h,23428.61,alive,none,belted,0,f,31,2001,1993,unavail,driver,0,3,48:94:2
24-Oct,485.733,alive,airbag,none,1,f,31,2001,2001,nodeploy,pass,0,1,48:98:2
24-Oct,25029.2,alive,airbag,belted,1,f,31,2001,1994,deploy,driver,1,0,48:117:1
24-Oct,1662.602,alive,airbag,none,0,m,31,2001,1996,nodeploy,driver,0,0,49:42:01
55+,15.742,alive,airbag,belted,1,f,31,2001,1999,deploy,pass,1,3,49:175:2
40-54,11.783,alive,none,belted,1,m,31,2001,1986,unavail,driver,0,2,49:191:2
24-Oct,151.479,alive,airbag,belted,0,f,31,2001,1994,deploy,driver,1,2,49:242:2
55+,10.761,alive,airbag,belted,1,m,31,2001,1999,deploy,driver,1,1,49:256:1
24-Oct,4.29,alive,airbag,none,1,f,31,2001,2000,deploy,driver,1,3,72:29:01
25-39,9.239,alive,none,belted,1,m,31,2001,1994,unavail,driver,0,0,72:113:1
24-Oct,3.696,alive,none,none,1,m,31,2001,1992,unavail,driver,0,3,72:136:1
24-Oct,3.696,alive,none,belted,1,f,31,2001,1992,unavail,pass,0,2,72:136:1
24-Oct,1851.947,alive,airbag,belted,1,f,31,2001,2001,deploy,pass,1,1,73:30:01
40-54,82.195,alive,airbag,none,0,m,31,2001,1995,deploy,driver,1,3,73:78:1
25-39,16.471,alive,airbag,belted,1,m,31,2001,1998,deploy,driver,1,2,73:125:2
24-Oct,9.285,alive,none,none,0,f,31,2001,1983,unavail,driver,0,3,74:59:01
25-39,185.298,alive,none,belted,1,m,31,2001,1992,unavail,driver,0,0,74:106:1
25-39,39.591,alive,airbag,belted,0,m,31,2001,2000,nodeploy,driver,0,3,75:37:02
24-Oct,70.005,alive,none,none,1,m,31,2001,1991,unavail,driver,0,3,75:56:01
24-Oct,957.806,alive,airbag,belted,1,m,31,2001,1995,deploy,driver,1,1,75:63:1
25-39,62.284,alive,airbag,belted,1,f,31,2001,2000,deploy,driver,1,3,75:74:2
25-39,17947.29,alive,none,belted,1,m,31,2001,1994,unavail,driver,0,1,75:137:2
25-39,855.475,alive,airbag,belted,1,m,31,2001,1999,nodeploy,driver,0,0,76:08:01
24-Oct,141.482,alive,airbag,belted,0,f,31,2001,1999,deploy,pass,1,3,76:62:1
25-39,1676.845,alive,airbag,belted,1,f,31,2001,2000,deploy,driver,1,1,76:122:2
40-54,64.206,alive,none,none,1,f,31,2001,1986,unavail,pass,0,3,78:29:02
25-39,70.912,alive,airbag,belted,1,f,31,2001,1998,deploy,driver,1,3,78:72:2
25-39,45.575,alive,airbag,belted,1,m,31,2001,1997,deploy,driver,1,2,78:75:2
24-Oct,45.575,alive,airbag,none,1,f,31,2001,2000,deploy,driver,1,3,78:112:2
24-Oct,159.433,alive,airbag,belted,0,f,31,2001,1999,nodeploy,driver,0,2,81:37:01
24-Oct,1653.372,alive,none,none,0,m,31,2001,1987,unavail,pass,0,0,81:43:02
25-39,22.709,alive,airbag,none,0,m,31,2001,2001,nodeploy,driver,0,2,81:98:1
24-Oct,23.835,alive,none,belted,0,m,31,2001,1997,unavail,driver,0,0,81:126:2
24-Oct,180.256,alive,none,none,0,m,31,2001,1988,unavail,driver,0,1,82:09:02
24-Oct,27.28,alive,airbag,belted,1,m,31,2001,2000,nodeploy,driver,0,1,82:34:01
25-39,772.325,alive,none,belted,1,f,31,2002,1988,unavail,pass,0,0,2:46:02
24-Oct,39.194,alive,airbag,belted,1,f,31,2002,1994,deploy,driver,1,1,0.134039352
24-Oct,106.384,alive,airbag,belted,1,m,31,2002,1999,nodeploy,driver,0,1,0.170162037
24-Oct,315.636,alive,airbag,belted,0,f,31,2002,1997,nodeploy,driver,0,1,4:09:02
24-Oct,4926.848,alive,none,belted,0,f,31,2002,1981,unavail,driver,0,0,4:14:02
24-Oct,494.7,alive,airbag,belted,1,m,31,2002,2001,nodeploy,driver,0,0,4:55:01
25-39,9.54,alive,none,belted,1,m,31,2002,1991,unavail,driver,0,2,4:57:02
24-Oct,419.668,alive,none,belted,1,m,31,2002,1982,unavail,driver,0,2,5:23:01
24-Oct,582.249,alive,airbag,belted,0,m,31,2002,1999,nodeploy,driver,0,1,8:01:01
24-Oct,308.878,alive,airbag,none,1,f,31,2002,1999,deploy,pass,1,1,8:33:02
24-Oct,576.746,alive,airbag,belted,0,m,31,2002,2001,nodeploy,driver,0,1,0.391678241
24-Oct,764.542,alive,airbag,belted,1,m,31,2002,2002,deploy,driver,1,0,0.399328704
24-Oct,1057.553,alive,airbag,belted,1,m,31,2002,1994,deploy,driver,1,1,0.416678241
40-54,535.841,alive,none,belted,1,m,31,2002,1994,unavail,driver,0,2,0.452789352
24-Oct,1045.485,alive,airbag,belted,1,m,31,2002,2001,deploy,driver,1,1,0.481273148
24-Oct,73.246,alive,airbag,none,1,m,31,2002,2000,deploy,driver,1,0,9:15:02
24-Oct,33.796,alive,airbag,none,1,f,31,2002,1996,nodeploy,driver,0,3,0.498622685
25-39,37.907,alive,airbag,none,1,m,31,2002,1999,deploy,driver,1,2,0.516678241
40-54,286.671,alive,airbag,belted,1,m,31,2002,2000,deploy,driver,1,1,11:50:01
24-Oct,53.032,alive,none,belted,1,m,31,2002,1982,unavail,driver,0,3,11:58:02
25-39,1290.671,alive,airbag,belted,0,f,31,2002,1994,nodeploy,driver,0,0,12:38:01
25-39,31.745,alive,none,none,1,f,31,2002,1988,unavail,pass,0,1,12:40:01
24-Oct,207.69,alive,airbag,belted,1,m,31,2002,1999,deploy,driver,1,0,0.54306713
25-39,286.335,alive,airbag,belted,1,f,31,2002,2001,deploy,driver,1,1,0.555578704
25-39,732.021,alive,airbag,none,0,m,31,2002,2001,nodeploy,driver,0,2,0.612511574
1-9km/h,24.451,alive,airbag,belted,0,f,31,2002,2000,nodeploy,pass,0,0,0.629895833
25-39,85.649,alive,airbag,belted,1,f,31,2002,1997,deploy,driver,1,1,13:14:01
25-39,79.759,alive,airbag,belted,1,f,31,2002,1994,deploy,driver,1,3,13:46:01
24-Oct,62.101,alive,airbag,belted,1,m,31,2002,2000,deploy,driver,1,0,41:20:01
1-9km/h,29.757,alive,airbag,belted,1,f,31,2002,2000,nodeploy,driver,0,0,42:147:1
24-Oct,296.164,alive,none,belted,1,m,31,2002,1994,unavail,driver,0,1,43:133:2
25-39,207.077,alive,airbag,belted,0,f,31,2002,2000,deploy,driver,1,2,43:150:2
24-Oct,481.606,alive,airbag,belted,1,m,31,2002,1999,deploy,driver,1,1,43:209:2
24-Oct,322.558,alive,airbag,belted,1,m,31,2002,1993,deploy,driver,1,0,43:240:2
25-39,38.844,alive,airbag,belted,1,m,31,2002,2002,nodeploy,driver,0,0,43:287:1
24-Oct,41.968,alive,airbag,belted,1,m,31,2002,2002,nodeploy,driver,0,3,45:45:02
24-Oct,100.328,alive,airbag,belted,1,m,31,2002,1995,deploy,driver,1,2,45:75:1
25-39,53.342,alive,none,none,1,m,31,2002,1989,unavail,driver,0,2,45:95:1
25-39,42.379,alive,airbag,belted,1,m,31,2002,1995,deploy,driver,1,2,45:120:1
24-Oct,3652.294,alive,airbag,belted,0,f,31,2002,2001,nodeploy,driver,0,0,45:138:3
24-Oct,491.119,alive,airbag,belted,0,m,31,2002,2000,nodeploy,driver,0,1,45:168:2
25-39,208.92,alive,airbag,belted,1,f,31,2002,1993,deploy,driver,1,0,48:05:02
24-Oct,280.349,alive,airbag,belted,1,m,31,2002,1995,nodeploy,driver,0,3,48:208:1
25-39,531.004,alive,airbag,belted,0,m,31,2002,2002,nodeploy,driver,0,2,49:73:1
24-Oct,19.928,alive,airbag,belted,1,m,31,2002,2001,deploy,driver,1,3,49:77:2
24-Oct,1874.474,alive,airbag,belted,0,m,31,2002,1999,nodeploy,driver,0,0,49:163:1
40-54,11.72,dead,airbag,none,0,m,31,2002,2000,nodeploy,driver,0,4,49:174:1
25-39,54.182,alive,airbag,belted,0,f,31,2002,1998,nodeploy,driver,0,3,49:176:2
